Epoch,Error_East_m,Error_North_m,Error_Up_m,Error_2D_m,Error_3D_m
1,32.046423765781455,-3.066234587051017,8.5564906169879,32.19277979173079,33.310487873903504
2,31.704819329106222,-3.0449305042221573,8.25356437009777,31.850701255495302,32.90271258237165
3,32.689365742804796,-2.70095797612864,10.134978629529376,32.800759239012635,34.330854904541624
4,32.90817498924093,-3.7310235154359845,10.24060482295995,33.11900538354434,34.66610022392582
5,32.810323351614905,-4.183630151817055,9.965303989995382,33.07597435729927,34.54457067757156
6,31.444049930175307,-3.377482611618351,8.057907207392915,31.624921577818057,32.63534178411645
7,33.642449060341995,-5.490216946667817,10.913857671891181,34.087488333686075,35.79202634919518
8,37.541209585669314,-9.496090001462722,15.594142369526931,38.7236122084579,41.74560358543286
9,33.15270520213839,-7.137154713629101,8.449685382017613,33.91225205771761,34.94907756552745
10,34.579055807788805,-9.039709361545896,9.770225935363126,35.74111702086818,37.05245957729979
11,35.591860631533976,-8.940665876467236,11.804510837842766,36.69763002605432,38.54948152245256
12,34.86317174857694,-6.559736657144697,12.106451935518301,35.47493325408606,37.48382408251426
13,34.11645981658846,-5.122166967666275,11.153354975795446,34.49883222460648,36.25695453396007
14,33.14919103524452,-4.543250422799003,9.900471553223767,33.45907934620137,34.89311289741275
15,30.950157604453555,-3.543080926245656,7.1399465171948355,31.15229812053101,31.96004559538116
16,31.09442070137667,-4.4382467546722975,6.688689721227852,31.40956913123071,32.11385375809668
17,30.214942393560474,-3.818030151979607,5.428261914831811,30.45521462882183,30.93519234631679
18,31.498039765723934,-4.210520195263035,6.9971860470882135,31.778215642132018,32.53944686031725
19,30.252974688658483,-3.2431147436406067,5.227757479391401,30.426308858503194,30.87215118867428
20,32.50491376539089,-2.767526231150066,8.831612752310221,32.62251707541283,33.79683423254862
21,32.834302783421336,-1.1896762015566742,9.554919448357499,32.85584831864702,34.2170024169643
22,31.827716818545383,-4.127973295550566,10.587596359916407,32.09429421891522,33.79557542180352
23,34.00181355229664,-1.301146433705692,7.447522319923341,34.026699911791155,34.83219624991862
24,33.86576665846554,-5.207350227084389,8.50009427537577,34.2637804066211,35.30238307031733
25,32.78657308137169,-2.2424814259778287,6.513733537567184,32.863172357001424,33.50248978754281
26,37.783128219243935,-4.977040545731974,14.295988372846455,38.10952257147401,40.70271482569987
27,39.312242560848865,-2.5386679860163874,17.14276924354521,39.394127104255546,42.96244624836534
28,41.11972083321495,1.4593467016444945,19.882655368529644,41.14560892971609,45.69771458947212
29,38.12594674781057,-1.2950306058729324,16.434996459266277,38.14793467131655,41.53762184217015
30,39.4678488341402,-4.864035860993813,19.82360434104128,39.7664423408931,44.43360468746291
31,39.49984228134028,-4.254418469698819,18.85762572849179,39.72829743100088,43.976671825889085
32,39.732750449539175,-4.385516749898017,19.557118469282006,39.97404427186461,44.50174264307548
33,35.58287890597843,-3.922589024984723,13.126270163580989,35.79843538335796,38.12908265751711
34,31.448987969866895,-1.9694285745779085,6.943158454289153,31.510593349526072,32.26646777322494
35,32.07366954561156,-2.3968979280952163,5.879099534928145,32.16310615905742,32.69601212901032
36,30.24764497538886,-1.2470611756798613,4.585141537782108,30.273341211915394,30.618600736391432
37,29.667101916503817,-1.525398548311232,2.6699186049143906,29.70629187319438,29.826032961362504
38,28.889957226965556,-1.0461553370807728,3.180385752829956,28.908892568986484,29.08331004376919
39,29.132068351841234,-1.0934364321024912,4.154168909337346,29.15258152698314,29.447073352282462
40,28.49573741305685,-0.848955346170686,3.5217687925462458,28.508380800979907,28.725087142110333
41,28.765396185883418,-0.8144132432907725,3.833298744647946,28.77692281432613,29.031112033943916
42,28.892533479954043,-0.8912461754444436,4.229822421213188,28.906276319088725,29.214109747697385
43,29.220144706671082,-0.9979021918579711,4.635329304186598,29.237179505952913,29.6023469208366
44,29.488382006268456,-1.0186087083414783,4.882023750552538,29.50596951547816,29.907129466889423
45,29.40861854343403,-0.9227598468928395,4.817319901569056,29.42309178805398,29.81484364209048
46,29.393534790323365,-0.9493322307860002,4.837114985826632,29.40886123525287,29.804006451154645
47,29.329409984660337,-1.0506087393343044,4.787828153725574,29.348220879151416,29.73619624634372
48,29.342339327631528,-1.1149665058093134,4.717131002750684,29.363515244720762,29.739995837660437
49,29.321267751762775,-1.165854448848755,4.901535071742098,29.344436596507762,29.750983264860036
50,29.34501208055375,-1.0693392558626975,5.054115496845216,29.364489105924772,29.79626325409657
51,29.108500816211237,-0.8810218200485913,4.516687229977151,29.12183062952554,29.47000988714138
52,30.79322366749286,-1.207429091739817,-2.071805271873341,30.816886748142196,30.886451494666463
53,30.86589844753271,-1.8106512244439514,-1.589086708713293,30.9189609273983,30.95976972456016
54,29.507199249628744,-3.681204485866326,4.921868681876103,29.735939097732455,30.140518664178398
55,26.587269231552504,-4.983436560356646,22.380696754480297,27.050277727634473,35.10859029294914
56,25.84160747093902,-5.164797088880325,4.882410225423683,26.352681185249406,26.80115175250347
57,29.84458136178358,-0.6239883941926099,-12.227880991949258,29.851103801638672,32.25847906720775
58,33.21185290907458,1.2614063333392576,-25.20932977498628,33.23579876566522,41.71484900243322
