towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
94501000,0.0,0,2390,1,1,2,1,0,15,3
94502000,0.0,0,2390,1,1,2,1,0,15,3
94503000,0.0,0,2390,1,1,2,1,0,15,3
94504000,0.0,0,2390,1,1,2,1,0,15,3
94505000,0.0,0,2390,1,1,2,1,0,15,3
94506000,0.0,0,2390,1,1,2,1,0,15,3
94507000,0.0,0,2390,1,1,2,1,0,15,3
94508000,0.0,0,2390,1,1,2,1,0,15,3
94509000,0.0,0,2390,1,1,2,1,0,15,3
94510000,0.0,0,2390,1,1,2,1,0,15,3
94511000,0.0,0,2390,1,1,2,1,0,15,3
94512000,0.0,0,2390,1,1,2,1,0,15,3
94513000,0.0,0,2390,1,1,2,1,0,15,3
94514000,0.0,0,2390,1,1,2,1,0,15,3
94515000,0.0,0,2390,1,1,2,1,0,15,3
94516000,0.0,0,2390,1,1,2,1,0,15,3
94517000,0.0,0,2390,1,1,2,1,0,15,3
94518000,0.0,0,2390,1,1,2,1,0,15,3
94519000,0.0,0,2390,1,1,2,1,0,15,3
94520000,0.0,0,2390,1,1,2,1,0,15,3
94521000,0.0,0,2390,1,1,2,1,0,15,3
94522000,0.0,0,2390,1,1,2,1,0,15,3
94523000,0.0,0,2390,1,1,2,1,0,15,3
94524000,0.0,0,2390,1,1,2,1,0,15,3
94525000,0.0,0,2390,1,1,2,1,0,15,3
94526000,0.0,0,2390,1,1,2,1,0,15,3
94527000,0.0,0,2390,1,1,2,1,0,15,3
94528000,0.0,0,2390,1,1,2,1,0,15,3
94529000,0.0,0,2390,1,1,2,1,0,15,3
94530000,0.0,0,2390,1,1,2,1,0,15,3
94531000,0.0,0,2390,1,1,2,1,0,15,3
94532000,0.0,0,2390,1,1,2,1,0,15,3
94533000,0.0,0,2390,1,1,2,1,0,15,3
94534000,0.0,0,2390,1,1,2,1,0,15,3
94535000,0.0,0,2390,1,1,2,1,0,15,3
94536000,0.0,0,2390,1,1,2,1,0,15,3
94537000,0.0,0,2390,1,1,2,1,0,15,3
94538000,0.0,0,2390,1,1,2,1,0,15,3
94539000,0.0,0,2390,1,1,2,1,0,15,3
94540000,0.0,0,2390,1,1,2,1,0,15,3
94541000,0.0,0,2390,1,1,2,1,0,15,3
94542000,0.0,0,2390,1,1,2,1,0,15,3
94543000,0.0,0,2390,1,1,2,1,0,15,3
94544000,0.0,0,2390,1,1,2,1,0,15,3
94545000,0.0,0,2390,1,1,2,1,0,15,3
94546000,0.0,0,2390,1,1,2,1,0,15,3
94547000,0.0,0,2390,1,1,2,1,0,15,3
94548000,0.0,0,2390,1,1,2,1,0,15,3
94549000,0.0,0,2390,1,1,2,1,0,15,3
94550000,0.0,0,2390,1,1,2,1,0,15,3
94551000,0.0,0,2390,1,1,2,1,0,15,3
94552000,0.0,0,2390,1,1,2,1,0,15,3
94553000,0.0,0,2390,1,1,2,1,0,15,3
94554000,0.0,0,2390,1,1,2,1,0,15,3
94555000,0.0,0,2390,1,1,2,1,0,15,3
94556000,0.0,0,2390,1,1,2,1,0,15,3
94557000,0.0,0,2390,1,1,2,1,0,15,3
94558000,0.0,0,2390,1,1,2,1,0,15,3
94559000,0.0,0,2390,1,1,2,1,0,15,3
94560000,0.0,0,2390,1,1,2,1,0,15,3
94561000,0.0,0,2390,1,1,2,1,0,15,3
94562000,0.0,0,2390,1,1,2,1,0,15,3
94563000,0.0,0,2390,1,1,2,1,0,15,3
94564000,0.0,0,2390,1,1,2,1,0,15,3
94565000,0.0,0,2390,1,1,2,1,0,15,3
94566000,0.0,0,2390,1,1,2,1,0,15,3
94567000,0.0,0,2390,1,1,2,1,0,15,3
94568000,0.0,0,2390,1,1,2,1,0,15,3
94569000,0.0,0,2390,1,1,2,1,0,15,3
94570000,0.0,0,2390,1,1,2,1,0,15,3
94571000,0.0,0,2390,1,1,2,1,0,15,3
94572000,0.0,0,2390,1,1,2,1,0,15,3
