iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
94417000,0,1,1,1171368248954360692736,0.23157240450382233,-0.09265606105327606,0.23241493105888367,0.3777649998664856,-0.20491158962249756,1.440195083618164,0.00591748021543026,-0.0020181313157081604,0.003964453469961882,0.007948250509798527,0.0006764722056686878,0.022386502474546432
94418000,0,1,1,1171368248954360692736,0.23000666499137878,-0.09372468292713165,0.23028181493282318,0.37546199560165405,-0.2086898684501648,1.4268145561218262,0.0065275514498353004,-0.001972051104530692,0.004196501802653074,0.009636112488806248,-0.002311891410499811,0.0257972851395607
94419000,0,1,1,1171368248954360692736,0.22770698368549347,-0.0939665138721466,0.22804726660251617,0.37283629179000854,-0.21287080645561218,1.409184455871582,0.006292788311839104,-0.0020095801446586847,0.004338040016591549,0.008355035446584225,-0.0008669875096529722,0.023963570594787598
94420000,0,1,1,1171368248954360692736,0.2254038155078888,-0.0941615179181099,0.22548799216747284,0.3696892559528351,-0.2140861451625824,1.3921232223510742,0.005825411062687635,-0.0018301407108083367,0.0038312580436468124,0.00779232382774353,1.4167744666337967e-06,0.022198205813765526
94421000,0,1,1,1171368248954360692736,0.2261800765991211,-0.09512872248888016,0.22740209102630615,0.3682355284690857,-0.21543391048908234,1.388269066810608,0.0066407048143446445,-0.0022743940353393555,0.0045739770866930485,0.008955308236181736,-0.0015853724908083677,0.02468414604663849
94422000,0,1,1,1171368248954360692736,0.2261144518852234,-0.09529273211956024,0.2276824712753296,0.36606159806251526,-0.21832504868507385,1.3795642852783203,0.006413847208023071,-0.0017971615307033062,0.004151859320700169,0.008273938670754433,-0.000945383682847023,0.023532260209321976
94423000,0,1,1,1171368248954360692736,0.22608773410320282,-0.09490431100130081,0.23003607988357544,0.36424416303634644,-0.21984997391700745,1.3736388683319092,0.006003874819725752,-0.0017293824348598719,0.004674208350479603,0.00846504420042038,-0.00022987392731010914,0.023794502019882202
94424000,0,1,1,1171368248954360692736,0.2279890477657318,-0.09444169700145721,0.23733508586883545,0.36167678236961365,-0.22219768166542053,1.3803658485412598,0.006123640574514866,-0.0013886173255741596,0.0050422316417098045,0.008165624924004078,-0.0010351506061851978,0.025221403688192368
94425000,0,1,1,1171368248954360692736,0.2293504774570465,-0.0939028188586235,0.24313335120677948,0.35984277725219727,-0.22332479059696198,1.3835183382034302,0.006327175535261631,-0.0013907179236412048,0.00525082228705287,0.008614855818450451,-0.00034535210579633713,0.02538319118320942
94426000,0,1,1,1171368248954360692736,0.23158688843250275,-0.09321881830692291,0.25049281120300293,0.35999560356140137,-0.22602970898151398,1.3994401693344116,0.006475392729043961,-0.0013638713862746954,0.0051358104683458805,0.011207527481019497,-0.0026754960417747498,0.031173747032880783
94427000,0,1,1,1171368248954360692736,0.23429885506629944,-0.09356151521205902,0.25713327527046204,0.36062437295913696,-0.2311692237854004,1.4201793670654297,0.007613426074385643,-0.001857109135016799,0.0069007184356451035,0.009938518516719341,-0.0031475136056542397,0.03457771986722946
94428000,0,1,1,1171368248954360692736,0.23521167039871216,-0.09263256937265396,0.2609727382659912,0.3587181270122528,-0.23531493544578552,1.4332146644592285,0.006099778227508068,-0.0013512568548321724,0.004807164892554283,0.009308027103543282,-0.0012066776398569345,0.030839215964078903
94429000,0,1,1,1171368248954360692736,0.23698899149894714,-0.0924120545387268,0.26774516701698303,0.36025798320770264,-0.2361576408147812,1.4549757242202759,0.006481322925537825,-0.0013804319314658642,0.006342017091810703,0.010607514530420303,-0.001585151068866253,0.0333205871284008
94430000,0,1,1,1171368248954360692736,0.23881790041923523,-0.09363405406475067,0.2729121446609497,0.36385858058929443,-0.23953239619731903,1.4733729362487793,0.0067847915925085545,-0.0024688453413546085,0.006057670805603266,0.011871043592691422,-0.0034948040265589952,0.03398923948407173
94431000,0,1,1,1171368248954360692736,0.2406449317932129,-0.09476957470178604,0.2784799337387085,0.36726313829421997,-0.24497513473033905,1.489235520362854,0.006390842143446207,-0.0017810864374041557,0.0058085317723453045,0.011426468379795551,-0.0031228414736688137,0.03231832757592201
