iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
94548000,94548,-461503,1366,18,1,1,1,4
94549000,94549,-461567,1366,18,1,1,1,4
94550000,94550,-461630,1366,18,1,1,1,4
94551000,94551,-461693,1366,18,1,1,1,4
94552000,94552,-461757,1366,18,1,1,1,4
94553000,94553,-461820,1366,18,1,1,1,4
94554000,94554,-461883,1366,18,1,1,1,4
94555000,94555,-461947,1366,18,1,1,1,4
94556000,94556,-462010,1366,18,1,1,1,4
94557000,94557,-462074,1366,18,1,1,1,4
94558000,94558,-462138,1366,18,1,1,1,4
94559000,94559,-462202,1366,18,1,1,1,4
94560000,94560,-462266,1366,18,1,1,1,4
94561000,94561,-462331,1366,18,1,1,1,4
94562000,94562,-462396,1366,18,1,1,1,5
94563000,94563,-462463,1366,18,1,1,1,5
94564000,94564,-462528,1366,18,1,1,1,5
94565000,94565,-462592,1366,18,1,1,1,5
94566000,94566,-462656,1366,18,1,1,1,5
94567000,94567,-462721,1366,18,1,1,1,5
94568000,94568,-462785,1366,18,1,1,1,5
94569000,94569,-462849,1366,18,1,1,1,5
94570000,94570,-462913,1366,18,1,1,1,5
94571000,94571,-462977,1366,18,1,1,1,5
94572000,94572,-463042,1366,18,1,1,1,5
94573000,94573,-463105,1366,18,1,1,1,5
94574000,94574,-463169,1366,18,1,1,1,5
94575000,94575,-463234,1366,18,1,1,1,5
94576000,94576,-463298,1366,18,1,1,1,5
94577000,94577,-463361,1366,18,1,1,1,5
94578000,94578,-463425,1366,18,1,1,1,5
94579000,94579,-463488,1366,18,1,1,1,5
94580000,94580,-463552,1366,18,1,1,1,5
94581000,94581,-463617,1366,18,1,1,1,5
94582000,94582,-463683,1366,18,1,1,1,5
94583000,94583,-463748,1366,18,1,1,1,5
94584000,94584,-463813,1366,18,1,1,1,5
94585000,94585,-463878,1366,18,1,1,1,5
94586000,94586,-463943,1366,18,1,1,1,5
94587000,94587,-464008,1366,18,1,1,1,4
94588000,94588,-464073,1366,18,1,1,1,4
94589000,94589,-464138,1366,18,1,1,1,4
94590000,94590,-464204,1366,18,1,1,1,4
94591000,94591,-464270,1366,18,1,1,1,4
94592000,94592,-464336,1366,18,1,1,1,4
94593000,94593,-464403,1366,18,1,1,1,4
94594000,94594,-464468,1366,18,1,1,1,4
94595000,94595,-464535,1366,18,1,1,1,4
94596000,94596,-464601,1366,18,1,1,1,4
94597000,94597,-464668,1366,18,1,1,1,4
94598000,94598,-464735,1366,18,1,1,1,4
94599000,94599,-464803,1366,18,1,1,1,4
94600000,94600,-464870,1366,18,1,1,1,4
94601000,94601,-464936,1366,18,1,1,1,4
94602000,94602,-465002,1366,18,1,1,1,4
94603000,94603,-465069,1366,18,1,1,1,4
94604000,94604,-465137,1366,18,1,1,1,4
94605000,94605,-465206,1366,18,1,1,1,4
94606000,94606,-465275,1366,18,1,1,1,5
94607000,94607,-465344,1366,18,1,1,1,5
94608000,94608,-465414,1366,18,1,1,1,5
94609000,94609,-465483,1366,18,1,1,1,5
94610000,94610,-465551,1366,18,1,1,1,5
94611000,94611,-465620,1366,18,1,1,1,5
94612000,94612,-465689,1366,18,1,1,1,5
94613000,94613,-465758,1366,18,1,1,1,5
94614000,94614,-465826,1366,18,1,1,1,5
94615000,94615,-465893,1366,18,1,1,1,5
94616000,94616,-465960,1366,18,1,1,1,5
94617000,94617,-466028,1366,18,1,1,1,5
94618000,94618,-466095,1366,18,1,1,1,5
94619000,94619,-466163,1366,18,1,1,1,5
94620000,94620,-466232,1366,18,1,1,1,5
94621000,94621,-466299,1366,18,1,1,1,5
94622000,94622,-466365,1366,18,1,1,1,5
94623000,94623,-466431,1366,18,1,1,1,5
94624000,94624,-466497,1366,18,1,1,1,5
94625000,94625,-466563,1366,18,1,1,1,5
94626000,94626,-466630,1366,18,1,1,1,5
94627000,94627,-466697,1366,18,1,1,1,5
94628000,94628,-466763,1366,18,1,1,1,5
94629000,94629,-466830,1366,18,1,1,1,5
94630000,94630,-466896,1366,18,1,1,1,5
94631000,94631,-466963,1366,18,1,1,1,5
94632000,94632,-467030,1366,18,1,1,1,5
94633000,94633,-467098,1366,18,1,1,1,5
94634000,94634,-467165,1366,18,1,1,1,5
94635000,94635,-467232,1366,18,1,1,1,5
94636000,94636,-467300,1366,18,1,1,1,5
94637000,94637,-467368,1366,18,1,1,1,5
94638000,94638,-467436,1366,18,1,1,1,5
94639000,94639,-467503,1366,18,1,1,1,5
94640000,94640,-467570,1366,18,1,1,1,5
94641000,94641,-467637,1366,18,1,1,1,5
94642000,94642,-467705,1366,18,1,1,1,5
94643000,94643,-467772,1366,18,1,1,1,5
94644000,94644,-467839,1366,18,1,1,1,5
94645000,94645,-467905,1366,18,1,1,1,5
94646000,94646,-467973,1366,18,1,1,1,5
94647000,94647,-468039,1366,18,1,1,1,5
94648000,94648,-468105,1366,18,1,1,1,5
94649000,94649,-468170,1366,18,1,1,1,5
94650000,94650,-468235,1366,18,1,1,1,5
94651000,94651,-468301,1366,18,1,1,1,5
94652000,94652,-468368,1366,18,1,1,1,5
94653000,94653,-468435,1366,18,1,1,1,5
94654000,94654,-468502,1366,18,1,1,1,5
94655000,94655,-468571,1366,18,1,1,1,5
94656000,94656,-468641,1366,18,1,1,1,5
94657000,94657,-468707,1366,18,1,1,1,5
94658000,94658,-468770,1366,18,1,1,1,4
94659000,94659,-468833,1366,18,1,1,1,4
94660000,94660,-468897,1366,18,1,1,1,4
94661000,94661,-468960,1366,18,1,1,1,4
