iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94517000,0,0,2,18,2,0,31355102,2441,7,0,1,1
94518000,0,0,2,18,2,0,31355101,2441,7,0,1,1
94519000,0,0,2,18,2,0,31355100,2441,7,0,1,1
94520000,0,0,2,18,2,0,31355099,2441,7,0,1,1
94521000,0,0,2,18,2,0,31355098,2441,7,0,1,1
94522000,0,0,2,18,2,0,31355097,2441,7,0,1,1
94523000,0,0,2,18,2,0,31355096,2441,7,0,1,1
94524000,0,0,2,18,2,0,31355095,2441,7,0,1,1
94525000,0,0,2,18,2,0,31355094,2441,7,0,1,1
94526000,0,0,2,18,2,0,31355093,2441,7,0,1,1
94527000,0,0,2,18,2,0,31355092,2441,7,0,1,1
94528000,0,0,2,18,2,0,31355091,2441,7,0,1,1
94529000,0,0,2,18,2,0,31355090,2441,7,0,1,1
94530000,0,0,2,18,2,0,31355089,2441,7,0,1,1
94531000,0,0,2,18,2,0,31355088,2441,7,0,1,1
94532000,0,0,2,18,2,0,31355087,2441,7,0,1,1
94533000,0,0,2,18,2,0,31355086,2441,7,0,1,1
94534000,0,0,2,18,2,0,31355085,2441,7,0,1,1
94535000,0,0,2,18,2,0,31355084,2441,7,0,1,1
94536000,0,0,2,18,2,0,31355083,2441,7,0,1,1
94537000,0,0,2,18,2,0,31355082,2441,7,0,1,1
94538000,0,0,2,18,2,0,31355081,2441,7,0,1,1
94539000,0,0,2,18,2,0,31355080,2441,7,0,1,1
94540000,0,0,2,18,2,0,31355079,2441,7,0,1,1
94541000,0,0,2,18,2,0,31355078,2441,7,0,1,1
94542000,0,0,2,18,2,0,31355077,2441,7,0,1,1
94543000,0,0,2,18,2,0,31355076,2441,7,0,1,1
94544000,0,0,2,18,2,0,31355075,2441,7,0,1,1
94545000,0,0,2,18,2,0,31355074,2441,7,0,1,1
94546000,0,0,2,18,2,0,31355073,2441,7,0,1,1
94547000,0,0,2,18,2,0,31355072,2441,7,0,1,1
94548000,0,0,2,18,2,0,31355071,2441,7,0,1,1
94549000,0,0,2,18,2,0,31355070,2441,7,0,1,1
94550000,0,0,2,18,2,0,31355069,2441,7,0,1,1
94551000,0,0,2,18,2,0,31355068,2441,7,0,1,1
94552000,0,0,2,18,2,0,31355067,2441,7,0,1,1
94553000,0,0,2,18,2,0,31355066,2441,7,0,1,1
94554000,0,0,2,18,2,0,31355065,2441,7,0,1,1
94555000,0,0,2,18,2,0,31355064,2441,7,0,1,1
94556000,0,0,2,18,2,0,31355063,2441,7,0,1,1
94557000,0,0,2,18,2,0,31355062,2441,7,0,1,1
94558000,0,0,2,18,2,0,31355061,2441,7,0,1,1
94559000,0,0,2,18,2,0,31355060,2441,7,0,1,1
94560000,0,0,2,18,2,0,31355059,2441,7,0,1,1
94561000,0,0,2,18,2,0,31355058,2441,7,0,1,1
94562000,0,0,2,18,2,0,31355057,2441,7,0,1,1
94563000,0,0,2,18,2,0,31355056,2441,7,0,1,1
94564000,0,0,2,18,2,0,31355055,2441,7,0,1,1
94565000,0,0,2,18,2,0,31355054,2441,7,0,1,1
94566000,0,0,2,18,2,0,31355053,2441,7,0,1,1
94567000,0,0,2,18,2,0,31355052,2441,7,0,1,1
94568000,0,0,2,18,2,0,31355051,2441,7,0,1,1
94569000,0,0,2,18,2,0,31355050,2441,7,0,1,1
94570000,0,0,2,18,2,0,31355049,2441,7,0,1,1
94571000,0,0,2,18,2,0,31355048,2441,7,0,1,1
94572000,0,0,2,18,2,0,31355047,2441,7,0,1,1
94573000,0,0,2,18,2,0,31355046,2441,7,0,1,1
94574000,0,0,2,18,2,0,31355045,2441,7,0,1,1
94575000,0,0,2,18,2,0,31355044,2441,7,0,1,1
94576000,0,0,2,18,2,0,31355043,2441,7,0,1,1
94577000,0,0,2,18,2,0,31355042,2441,7,0,1,1
94578000,0,0,2,18,2,0,31355041,2441,7,0,1,1
94579000,0,0,2,18,2,0,31355040,2441,7,0,1,1
94580000,0,0,2,18,2,0,31355039,2441,7,0,1,1
94581000,0,0,2,18,2,0,31355038,2441,7,0,1,1
94582000,0,0,2,18,2,0,31355037,2441,7,0,1,1
94583000,0,0,2,18,2,0,31355036,2441,7,0,1,1
94584000,0,0,2,18,2,0,31355035,2441,7,0,1,1
94585000,0,0,2,18,2,0,31355034,2441,7,0,1,1
94586000,0,0,2,18,2,0,31355033,2441,7,0,1,1
94587000,0,0,2,18,2,0,31355032,2441,7,0,1,1
94588000,0,0,2,18,2,0,31355031,2441,7,0,1,1
94589000,0,0,2,18,2,0,31355030,2441,7,0,1,1
94590000,0,0,2,18,2,0,31355029,2441,7,0,1,1
94591000,0,0,2,18,2,0,31355028,2441,7,0,1,1
94592000,0,0,2,18,2,0,31355027,2441,7,0,1,1
94593000,0,0,2,18,2,0,31355026,2441,7,0,1,1
94594000,0,0,2,18,2,0,31355025,2441,7,0,1,1
94595000,0,0,2,18,2,0,31355024,2441,7,0,1,1
94596000,0,0,2,18,2,0,31355023,2441,7,0,1,1
94597000,0,0,2,18,2,0,31355022,2441,7,0,1,1
94598000,0,0,2,18,2,0,31355021,2441,7,0,1,1
94599000,0,0,2,18,2,0,31355020,2441,7,0,1,1
94600000,0,0,2,18,2,0,31355019,2441,7,0,1,1
94601000,0,0,2,18,2,0,31355018,2441,7,0,1,1
94602000,0,0,2,18,2,0,31355017,2441,7,0,1,1
94603000,0,0,2,18,2,0,31355016,2441,7,0,1,1
94604000,0,0,2,18,2,0,31355015,2441,7,0,1,1
94605000,0,0,2,18,2,0,31355014,2441,7,0,1,1
94606000,0,0,2,18,2,0,31355013,2441,7,0,1,1
94607000,0,0,2,18,2,0,31355012,2441,7,0,1,1
94608000,0,0,2,18,2,0,31355011,2441,7,0,1,1
94609000,0,0,2,18,2,0,31355010,2441,7,0,1,1
94610000,0,0,2,18,2,0,31355009,2441,7,0,1,1
94611000,0,0,2,18,2,0,31355008,2441,7,0,1,1
94612000,0,0,2,18,2,0,31355007,2441,7,0,1,1
94613000,0,0,2,18,2,0,31355006,2441,7,0,1,1
94614000,0,0,2,18,2,0,31355005,2441,7,0,1,1
94615000,0,0,2,18,2,0,31355004,2441,7,0,1,1
94616000,0,0,2,18,2,0,31355003,2441,7,0,1,1
94617000,0,0,2,18,2,0,31355002,2441,7,0,1,1
94618000,0,0,2,18,2,0,31355001,2441,7,0,1,1
94619000,0,0,2,18,2,0,31355000,2441,7,0,1,1
94620000,0,0,2,18,2,0,31354999,2441,7,0,1,1
94621000,0,0,2,18,2,0,31354998,2441,7,0,1,1
94622000,0,0,2,18,2,0,31354997,2441,7,0,1,1
94623000,0,0,2,18,2,0,31354996,2441,7,0,1,1
94624000,0,0,2,18,2,0,31354995,2441,7,0,1,1
94625000,0,0,2,18,2,0,31354994,2441,7,0,1,1
94626000,0,0,2,18,2,0,31354993,2441,7,0,1,1
94627000,0,0,2,18,2,0,31354992,2441,7,0,1,1
94628000,0,0,2,18,2,0,31354991,2441,7,0,1,1
94629000,0,0,2,18,2,0,31354990,2441,7,0,1,1
94630000,0,0,2,18,2,0,31354989,2441,7,0,1,1
94631000,0,0,2,18,2,0,31354988,2441,7,0,1,1
94632000,0,0,2,18,2,0,31354987,2441,7,0,1,1
94633000,0,0,2,18,2,0,31354986,2441,7,0,1,1
94634000,0,0,2,18,2,0,31354985,2441,7,0,1,1
94635000,0,0,2,18,2,0,31354984,2441,7,0,1,1
94636000,0,0,2,18,2,0,31354983,2441,7,0,1,1
94637000,0,0,2,18,2,0,31354982,2441,7,0,1,1
94638000,0,0,2,18,2,0,31354981,2441,7,0,1,1
94639000,0,0,2,18,2,0,31354980,2441,7,0,1,1
94640000,0,0,2,18,2,0,31354979,2441,7,0,1,1
94641000,0,0,2,18,2,0,31354978,2441,7,0,1,1
94642000,0,0,2,18,2,0,31354977,2441,7,0,1,1
94643000,0,0,2,18,2,0,31354976,2441,7,0,1,1
94644000,0,0,2,18,2,0,31354975,2441,7,0,1,1
94645000,0,0,2,18,2,0,31354974,2441,7,0,1,1
94646000,0,0,2,18,2,0,31354973,2441,7,0,1,1
94647000,0,0,2,18,2,0,31354972,2441,7,0,1,1
94648000,0,0,2,18,2,0,31354971,2441,7,0,1,1
