version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,94485000,1889,2445,4901,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94486000,1919,2492,4982,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94487000,1939,2541,5056,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94488000,1916,2559,5059,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94489000,1875,2543,4995,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94490000,1891,2598,5068,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94491000,1889,2633,5096,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94492000,1877,2643,5105,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94493000,1903,2674,5186,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94494000,1858,2623,5072,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94495000,1869,2665,5135,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94496000,1921,2705,5256,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94497000,1941,2709,5279,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94498000,1949,2711,5280,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94499000,1966,2764,5337,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94500000,1925,2764,5291,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94501000,1902,2783,5295,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94502000,1863,2773,5240,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94503000,1873,2840,5316,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94504000,2003,3003,5556,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94505000,1967,2955,5305,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94506000,1940,2945,5296,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94507000,1934,2937,5303,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94508000,1958,2933,5341,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94509000,1998,2925,5381,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94510000,2053,2938,5461,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94511000,2075,2904,5460,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94512000,2112,2867,5477,0,0,0,0,0,0,0
