iTOW,ecefX,ecefY,ecefZ,pAcc
94584000,-241821083,538575293,240577872,152
94585000,-241821149,538575244,240577906,150
94586000,-241821214,538575197,240577952,146
94587000,-241821287,538575154,240578009,143
94588000,-241821355,538575088,240578054,140
94589000,-241821424,538575019,240578102,138
94590000,-241821495,538574961,240578162,136
94591000,-241821563,538574908,240578215,134
94592000,-241821641,538574853,240578258,134
94593000,-241821716,538574793,240578297,133
94594000,-241821790,538574732,240578334,132
94595000,-241821873,538574679,240578378,131
94596000,-241821955,538574627,240578421,131
94597000,-241822038,538574563,240578444,132
94598000,-241822134,538574499,240578441,132
94599000,-241822232,538574445,240578416,133
94600000,-241822328,538574413,240578371,134
94601000,-241822416,538574379,240578313,136
94602000,-241822492,538574354,240578252,138
94603000,-241822574,538574346,240578206,139
94604000,-241822651,538574342,240578148,141
94605000,-241822720,538574326,240578075,143
94606000,-241822782,538574314,240577999,145
94607000,-241822836,538574314,240577926,146
94608000,-241822885,538574329,240577854,148
94609000,-241822928,538574332,240577771,149
94610000,-241822972,538574345,240577678,149
94611000,-241823006,538574391,240577586,149
94612000,-241823033,538574415,240577492,149
94613000,-241823057,538574441,240577393,149
94614000,-241823060,538574469,240577284,150
94615000,-241823046,538574508,240577186,152
94616000,-241823010,538574550,240577114,153
94617000,-241822952,538574581,240577087,154
94618000,-241822917,538574608,240577080,155
94619000,-241822900,538574649,240577094,156
94620000,-241822881,538574676,240577093,158
94621000,-241822865,538574694,240577075,160
94622000,-241822847,538574733,240577065,163
94623000,-241822829,538574758,240577059,165
94624000,-241822819,538574791,240577053,167
94625000,-241822807,538574815,240577045,169
94626000,-241822788,538574830,240577030,171
94627000,-241822769,538574876,240577019,173
94628000,-241822738,538574922,240577016,175
94629000,-241822707,538574946,240577001,177
94630000,-241822666,538574971,240576984,179
94631000,-241822630,538575011,240576957,178
94632000,-241822586,538575046,240576930,178
94633000,-241822549,538575095,240576919,178
94634000,-241822517,538575132,240576913,174
94635000,-241822484,538575163,240576903,172
94636000,-241822443,538575210,240576878,169
94637000,-241822388,538575259,240576856,164
