iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94627000,-23,-42,-29,56,48,242.0695,21,12.68238
94628000,-11,-51,-24,57,52,258.1796,18,13.22824
94629000,-26,-39,-8,47,47,236.44866,16,13.38687
94630000,-22,-53,-3,57,57,247.85486,13,10.67777
94631000,-29,-52,5,60,60,241.1753,11,9.48152
94632000,-29,-58,3,65,65,243.59872,12,8.38541
94633000,-15,-54,-21,60,56,254.83212,16,9.49336
94634000,-9,-46,-11,48,47,258.71282,12,10.01981
94635000,-18,-44,-8,48,47,247.3338,12,9.68544
94636000,-32,-62,5,70,70,242.94332,10,5.83397
94637000,-24,-73,-6,77,77,251.669,10,5.60513
94638000,-39,-70,-5,80,80,240.8892,11,5.40638
94639000,-44,-69,-11,82,82,237.3432,12,5.38608
94640000,-43,-69,4,82,82,238.07602,10,5.03711
94641000,-24,-77,-16,82,80,252.52352,12,5.45836
94642000,-36,-79,3,87,87,245.66262,10,4.75913
94643000,-44,-81,-10,92,92,241.72154,11,4.70407
94644000,-39,-78,12,88,87,243.60304,10,4.85303
94645000,-31,-72,-4,79,79,246.93128,10,5.35438
94646000,-24,-87,-1,91,91,254.44952,10,4.61653
94647000,-41,-88,-8,98,97,245.28806,11,4.09006
94648000,-42,-82,-4,93,93,242.69006,10,4.6801
94649000,-46,-76,10,89,89,238.82376,8,4.88441
94650000,-34,-80,3,87,87,246.93822,10,5.14395
94651000,-41,-82,-5,92,92,243.73158,10,4.89517
94652000,-22,-75,5,78,78,253.92002,10,6.18824
94653000,-29,-91,-8,96,96,252.29104,10,5.28499
94654000,-35,-96,-2,102,102,250.22298,8,3.61973
94655000,-25,-82,13,87,86,253.0861,8,5.87772
94656000,-26,-92,2,96,96,254.02078,9,4.48772
94657000,-29,-89,-18,95,93,251.66742,10,4.36462
94658000,1,-86,-2,86,86,270.91282,9,4.97607
94659000,21,-78,0,81,81,285.16366,7,4.19674
94660000,44,-70,3,83,83,302.05436,7,5.2269
94661000,44,-35,0,57,57,321.60496,7,7.61938
