iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
94514000,3,1,1,1,1,0,1,0,0,1,0,33680,419668
94515000,3,1,1,1,1,0,1,0,0,1,0,33680,420668
94516000,3,1,1,1,1,0,1,0,0,1,0,33680,421668
94517000,3,1,1,1,1,0,1,0,0,1,0,33680,422668
94518000,3,1,1,1,1,0,1,0,0,1,0,33680,423668
94519000,3,1,1,1,1,0,1,0,0,1,0,33680,424668
94520000,3,1,1,1,1,0,1,0,0,1,0,33680,425668
94521000,3,1,1,1,1,0,1,0,0,1,0,33680,426668
94522000,3,1,1,1,1,0,1,0,0,1,0,33680,427668
94523000,3,1,1,1,1,0,1,0,0,1,0,33680,428668
94524000,3,1,1,1,1,0,1,0,0,1,0,33680,429668
94525000,3,1,1,1,1,0,1,0,0,1,0,33680,430668
94526000,3,1,1,1,1,0,1,0,0,1,0,33680,431668
94527000,3,1,1,1,1,0,1,0,0,1,0,33680,432668
94528000,3,1,1,1,1,0,1,0,0,1,0,33680,433668
94529000,3,1,1,1,1,0,1,0,0,1,0,33680,434668
94530000,3,1,1,1,1,0,1,0,0,1,0,33680,435668
94531000,3,1,1,1,1,0,1,0,0,1,0,33680,436668
94532000,3,1,1,1,1,0,1,0,0,1,0,33680,437668
94533000,3,1,1,1,1,0,1,0,0,1,0,33680,438668
94534000,3,1,1,1,1,0,1,0,0,1,0,33680,439668
94535000,3,1,1,1,1,0,1,0,0,1,0,33680,440668
94536000,3,1,1,1,1,0,1,0,0,1,0,33680,441668
94537000,3,1,1,1,1,0,1,0,0,1,0,33680,442668
94538000,3,1,1,1,1,0,1,0,0,1,0,33680,443668
94539000,3,1,1,1,1,0,1,0,0,1,0,33680,444668
94540000,3,1,1,1,1,0,1,0,0,1,0,33680,445668
94541000,3,1,1,1,1,0,1,0,0,1,0,33680,446668
94542000,3,1,1,1,1,0,1,0,0,1,0,33680,447668
94543000,3,1,1,1,1,0,1,0,0,1,0,33680,448668
94544000,3,1,1,1,1,0,1,0,0,1,0,33680,449668
94545000,3,1,1,1,1,0,1,0,0,1,0,33680,450668
94546000,3,1,1,1,1,0,1,0,0,1,0,33680,451668
94547000,3,1,1,1,1,0,1,0,0,1,0,33680,452668
94548000,3,1,1,1,1,0,1,0,0,1,0,33680,453668
94549000,3,1,1,1,1,0,1,0,0,1,0,33680,454668
94550000,3,1,1,1,1,0,1,0,0,1,0,33680,455668
94551000,3,1,1,1,1,0,1,0,0,1,0,33680,456668
94552000,3,1,1,1,1,0,1,0,0,1,0,33680,457668
94553000,3,1,1,1,1,0,1,0,0,1,0,33680,458668
94554000,3,1,1,1,1,0,1,0,0,1,0,33680,459668
94555000,3,1,1,1,1,0,1,0,0,1,0,33680,460668
94556000,3,1,1,1,1,0,1,0,0,1,0,33680,461668
94557000,3,1,1,1,1,0,1,0,0,1,0,33680,462668
94558000,3,1,1,1,1,0,1,0,0,1,0,33680,463668
94559000,3,1,1,1,1,0,1,0,0,1,0,33680,464668
94560000,3,1,1,1,1,0,1,0,0,1,0,33680,465668
94561000,3,1,1,1,1,0,1,0,0,1,0,33680,466668
94562000,3,1,1,1,1,0,1,0,0,1,0,33680,467668
94563000,3,1,1,1,1,0,1,0,0,1,0,33680,468668
94564000,3,1,1,1,1,0,1,0,0,1,0,33680,469668
94565000,3,1,1,1,1,0,1,0,0,1,0,33680,470668
94566000,3,1,1,1,1,0,1,0,0,1,0,33680,471668
94567000,3,1,1,1,1,0,1,0,0,1,0,33680,472668
94568000,3,1,1,1,1,0,1,0,0,1,0,33680,473668
94569000,3,1,1,1,1,0,1,0,0,1,0,33680,474668
94570000,3,1,1,1,1,0,1,0,0,1,0,33680,475668
94571000,3,1,1,1,1,0,1,0,0,1,0,33680,476668
94572000,3,1,1,1,1,0,1,0,0,1,0,33680,477668
94573000,3,1,1,1,1,0,1,0,0,1,0,33680,478668
94574000,3,1,1,1,1,0,1,0,0,1,0,33680,479668
94575000,3,1,1,1,1,0,1,0,0,1,0,33680,480668
94576000,3,1,1,1,1,0,1,0,0,1,0,33680,481668
94577000,3,1,1,1,1,0,1,0,0,1,0,33680,482668
94578000,3,1,1,1,1,0,1,0,0,1,0,33680,483668
94579000,3,1,1,1,1,0,1,0,0,1,0,33680,484668
94580000,3,1,1,1,1,0,1,0,0,1,0,33680,485668
94581000,3,1,1,1,1,0,1,0,0,1,0,33680,486668
94582000,3,1,1,1,1,0,1,0,0,1,0,33680,487668
94583000,3,1,1,1,1,0,1,0,0,1,0,33680,488668
94584000,3,1,1,1,1,0,1,0,0,1,0,33680,489668
94585000,3,1,1,1,1,0,1,0,0,1,0,33680,490668
94586000,3,1,1,1,1,0,1,0,0,1,0,33680,491668
94587000,3,1,1,1,1,0,1,0,0,1,0,33680,492668
94588000,3,1,1,1,1,0,1,0,0,1,0,33680,493668
94589000,3,1,1,1,1,0,1,0,0,1,0,33680,494668
94590000,3,1,1,1,1,0,1,0,0,1,0,33680,495668
94591000,3,1,1,1,1,0,1,0,0,1,0,33680,496668
94592000,3,1,1,1,1,0,1,0,0,1,0,33680,497668
94593000,3,1,1,1,1,0,1,0,0,1,0,33680,498668
94594000,3,1,1,1,1,0,1,0,0,1,0,33680,499668
94595000,3,1,1,1,1,0,1,0,0,1,0,33680,500668
94596000,3,1,1,1,1,0,1,0,0,1,0,33680,501668
94597000,3,1,1,1,1,0,1,0,0,1,0,33680,502668
94598000,3,1,1,1,1,0,1,0,0,1,0,33680,503668
94599000,3,1,1,1,1,0,1,0,0,1,0,33680,504668
94600000,3,1,1,1,1,0,1,0,0,1,0,33680,505668
94601000,3,1,1,1,1,0,1,0,0,1,0,33680,506668
