version,reserved0,jamDetEnabled,jammingState,reserved1,spfDetEnabled,spoofingState,reserved2
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
