version,nPorts,mem,alloc,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04
0,4,0,0,0,0,1,5,6,256,983,506961,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2460718,0,0,0,2377137,5,6,0,11339,0,0,0,0,132,768,0,2838399,15,74,0,448,0,0,0,32,0,0,0,0,0,257,0,2364878,9,10,0,1852938,5,8,0,5437,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,975,508798,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2466894,0,0,0,2385357,3,6,0,11385,0,0,0,0,132,768,0,2850034,15,74,0,456,0,0,0,33,0,0,0,0,0,257,0,2372998,9,10,0,1859114,5,8,0,5455,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1014,510657,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2473070,0,0,0,2392356,12,12,0,11412,0,0,0,0,132,768,0,2863929,16,74,0,632,0,0,0,44,0,0,0,0,0,257,0,2379522,9,10,0,1865290,4,8,0,5473,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,996,512460,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2479014,0,0,0,2399331,5,12,0,11447,0,0,0,0,132,768,0,2879171,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2386718,9,10,0,1871234,4,8,0,5490,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,935,514340,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2484814,0,0,0,2405600,5,12,0,11474,0,0,0,0,132,768,0,2889510,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2393242,9,10,0,1877034,4,8,0,5506,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1007,516231,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2490990,0,0,0,2412684,6,12,0,11509,0,0,0,0,132,768,0,2900679,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2400438,9,10,0,1883210,3,8,0,5524,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1007,518122,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2496934,0,0,0,2419355,6,12,0,11536,0,0,0,0,132,768,0,2910996,16,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2406962,9,10,0,1889154,3,8,0,5541,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,935,519985,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2502966,0,0,0,2426604,5,12,0,11573,0,0,0,0,132,768,0,2922057,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2414326,9,10,0,1895186,4,8,0,5558,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1007,521894,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2508910,0,0,0,2433228,5,12,0,11600,0,0,0,0,132,768,0,2932402,19,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2420850,9,10,0,1901130,5,8,0,5575,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1007,523723,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2515086,0,0,0,2440238,6,12,0,11634,0,0,0,0,132,768,0,2942935,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2427962,9,10,0,1907306,4,8,0,5593,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,927,525642,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2520986,0,0,0,2446840,5,12,0,11661,0,0,0,0,132,768,0,2953194,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2434486,9,10,0,1913206,4,8,0,5610,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,999,527449,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2527262,0,0,0,2453847,5,12,0,11694,0,0,0,0,132,768,0,2964073,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2441514,9,10,0,1919482,3,8,0,5629,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1007,529346,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2533206,0,0,0,2460422,5,12,0,11721,0,0,0,0,132,768,0,2974238,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2448038,9,10,0,1925426,6,8,0,5646,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,935,531183,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2539238,0,0,0,2468588,5,12,0,11767,0,0,0,0,132,768,0,2985687,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2456158,9,10,0,1931458,4,8,0,5663,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1007,533066,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2545414,0,0,0,2474931,6,12,0,11794,0,0,0,0,132,768,0,2995808,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2462682,9,10,0,1937634,5,8,0,5681,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,927,534961,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2551446,0,0,0,2482065,4,12,0,11827,0,0,0,0,132,768,0,3006245,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2469710,9,10,0,1943666,5,8,0,5698,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,938,536847,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2557490,0,0,0,2488685,5,12,0,11854,0,0,0,0,132,768,0,3016449,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2476234,9,10,0,1949710,5,8,0,5716,0,0,0,0,0
