pending_01,pending_02,pending_03,pending_04,pending_05,pending_06,usage_01,usage_02,usage_03,usage_04,usage_05,usage_06,peakUsage_01,peakUsage_02,peakUsage_03,peakUsage_04,peakUsage_05,peakUsage_06,tUsage,tPeakUsage,limit,lem,alloc,reserved0
0,983,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,975,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,23,74,0,0,0,0
0,1014,0,0,0,0,0,15,0,16,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,996,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,935,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1007,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1007,0,0,0,0,0,15,0,16,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,935,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1007,0,0,0,0,0,14,0,19,0,0,0,15,0,74,0,0,30,74,0,0,0,0
0,1007,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,927,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,999,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,27,74,0,0,0,0
0,1007,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,935,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,24,74,0,0,0,0
0,1007,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,927,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,30,74,0,0,0,0
0,938,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1010,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,953,0,0,0,0,0,15,0,16,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,968,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,28,74,0,0,0,0
0,1053,0,0,0,0,0,14,0,16,0,0,0,15,0,74,0,0,30,74,0,0,0,0
0,1001,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1014,0,0,0,0,0,15,0,19,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,1086,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1073,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1073,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1073,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,30,74,0,0,0,0
0,1073,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1073,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1115,0,0,0,0,0,15,0,19,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,1001,0,0,0,0,0,15,0,17,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,1073,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,28,74,0,0,0,0
0,1060,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,27,74,0,0,0,0
0,955,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,25,74,0,0,0,0
0,1038,0,0,0,0,0,14,0,18,0,0,0,15,0,74,0,0,30,74,0,0,0,0
0,1080,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,29,74,0,0,0,0
0,966,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,29,74,0,0,0,0
0,1038,0,0,0,0,0,14,0,15,0,0,0,15,0,74,0,0,29,74,0,0,0,0
0,1038,0,0,0,0,0,14,0,16,0,0,0,15,0,74,0,0,30,74,0,0,0,0
0,1038,0,0,0,0,0,14,0,16,0,0,0,15,0,74,0,0,30,74,0,0,0,0
0,1038,0,0,0,0,0,14,0,16,0,0,0,15,0,74,0,0,30,74,0,0,0,0
0,1102,0,0,0,0,0,15,0,17,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,1078,0,0,0,0,0,15,0,19,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,1086,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,28,74,0,0,0,0
0,1086,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1049,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1049,0,0,0,0,0,15,0,16,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,1113,0,0,0,0,0,15,0,16,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,1034,0,0,0,0,0,15,0,18,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,1034,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,27,74,0,0,0,0
0,1034,0,0,0,0,0,15,0,18,0,0,0,15,0,74,0,0,31,74,0,0,0,0
0,995,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1067,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1111,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1058,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1089,0,0,0,0,0,15,0,15,0,0,0,15,0,74,0,0,26,74,0,0,0,0
0,1087,0,0,0,0,0,15,0,19,0,0,0,15,0,74,0,0,32,74,0,0,0,0
0,1076,0,0,0,0,0,15,0,17,0,0,0,15,0,74,0,0,32,74,0,0,0,0
0,1107,0,0,0,0,0,16,0,15,0,0,0,16,0,74,0,0,27,74,0,0,0,0
0,1140,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,32,74,0,0,0,0
0,1076,0,0,0,0,0,16,0,16,0,0,0,16,0,74,0,0,32,74,0,0,0,0
0,1004,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,27,74,0,0,0,0
0,1102,0,0,0,0,0,15,0,17,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1030,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1120,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1192,0,0,0,0,0,15,0,18,0,0,0,16,0,74,0,0,32,74,0,0,0,0
0,1091,0,0,0,0,0,15,0,18,0,0,0,16,0,74,0,0,32,74,0,0,0,0
0,1069,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1069,0,0,0,0,0,15,0,18,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,997,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,997,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1054,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,982,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1041,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,24,74,0,0,0,0
0,1054,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1085,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1054,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1054,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,962,0,0,0,0,0,14,0,16,0,0,0,16,0,74,0,0,30,74,0,0,0,0
0,982,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1054,0,0,0,0,0,15,0,18,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1069,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1069,0,0,0,0,0,15,0,19,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1100,0,0,0,0,0,15,0,19,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,997,0,0,0,0,0,15,0,18,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,964,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1069,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1069,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,997,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1100,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,29,74,0,0,0,0
0,1133,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1098,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,32,74,0,0,0,0
0,1085,0,0,0,0,0,15,0,18,0,0,0,16,0,74,0,0,32,74,0,0,0,0
0,1059,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,30,74,0,0,0,0
0,1052,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1065,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1142,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1096,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1129,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1129,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1067,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
