iTOW,ecefVX,ecefVY,ecefVZ,sAcc
94651000,67,52,-36,10
94652000,67,34,-22,10
94653000,76,54,-24,10
94654000,82,53,-31,8
94655000,76,32,-28,8
94656000,81,45,-25,9
94657000,69,62,-20,10
94658000,78,37,2,9
94659000,75,25,20,7
94660000,72,11,39,7
94661000,39,-1,41,7
